Country,Year,Children Affected(K),Prevalence %
Brunei,2022,3.3,10.3
Brunei,2023,3.2,10.1
Brunei,2024,3.1,9.9
Cambodia,2022,411.2,22.5
Cambodia,2023,403.6,22.2
Cambodia,2024,395.5,22
Indonesia,2022,5328.9,23.7
Indonesia,2023,5167.9,23.1
Indonesia,2024,5031.1,22.6
Laos,2022,243.7,30.5
Laos,2023,240.3,30.2
Laos,2024,236.3,29.9
Malaysia,2022,541.9,23
Malaysia,2023,538.4,23.7
Malaysia,2024,540.7,24.3
Myanmar,2022,1109.7,24.9
Myanmar,2023,1092.6,24.7
Myanmar,2024,1076.8,24.5
Philippines,2022,2801.5,27.7
Philippines,2023,2679.5,27.9
Philippines,2024,2541.8,27.7
Singapore,2022,6.2,2.8
Singapore,2023,6.3,2.8
Singapore,2024,6.5,2.8
Thailand,2022,389.3,12.2
Thailand,2023,380.1,12.3
Thailand,2024,374,12.3
Timor-Leste,2022,73.6,45.4
Timor-Leste,2023,70.9,45.2
Timor-Leste,2024,69.1,45.4
Vietnam,2022,1452.9,19.9
Vietnam,2023,1416,19.7
Vietnam,2024,1352.6,19.2
